Item_ID,Item_Name,Grade,Price,Grid_Size
1,G1_Item_1,1,902,9
2,G1_Item_2,1,885,4
3,G1_Item_3,1,754,2
4,G1_Item_4,1,609,8
5,G1_Item_5,1,602,3
6,G1_Item_6,1,599,4
7,G1_Item_7,1,507,4
8,G1_Item_8,1,486,4
9,G1_Item_9,1,483,4
10,G1_Item_10,1,470,4
11,G1_Item_11,1,438,4
12,G1_Item_12,1,437,6
13,G1_Item_13,1,414,4
14,G1_Item_14,1,414,4
15,G1_Item_15,1,411,4
16,G1_Item_16,1,388,3
17,G1_Item_17,1,386,6
18,G1_Item_18,1,384,4
19,G1_Item_19,1,377,4
20,G1_Item_20,1,369,4
21,G1_Item_21,1,360,2
22,G1_Item_22,1,360,4
23,G1_Item_23,1,346,2
24,G1_Item_24,1,346,2
25,G1_Item_25,1,345,4
26,G1_Item_26,1,344,2
27,G1_Item_27,1,341,4
28,G1_Item_28,1,340,2
29,G1_Item_29,1,338,4
30,G1_Item_30,1,331,1
31,G1_Item_31,1,320,2
32,G1_Item_32,1,317,4
33,G1_Item_33,1,315,2
34,G1_Item_34,1,315,4
35,G1_Item_35,1,308,1
36,G1_Item_36,1,305,2
37,G1_Item_37,1,304,2
38,G1_Item_38,1,299,3
39,G1_Item_39,1,277,2
40,G1_Item_40,1,276,3
41,G1_Item_41,1,265,2
42,G1_Item_42,1,257,2
43,G1_Item_43,1,248,2
44,G1_Item_44,1,248,2
45,G1_Item_45,1,247,2
46,G1_Item_46,1,221,1
47,G1_Item_47,1,221,1
48,G1_Item_48,1,218,2
49,G1_Item_49,1,209,1
50,G1_Item_50,1,207,2
51,G1_Item_51,1,205,2
52,G1_Item_52,1,200,1
53,G1_Item_53,1,200,1
54,G1_Item_54,1,200,1
55,G1_Item_55,1,198,1
56,G1_Item_56,1,192,1
57,G1_Item_57,1,192,1
58,G1_Item_58,1,189,1
59,G1_Item_59,1,186,1
60,G1_Item_60,1,185,1
61,G1_Item_61,1,184,1
62,G1_Item_62,1,184,1
